Series,Episode,Task,Description,Contestant,Score
Series 9,Episode 8: Shaqinahat. (23 October 2019),5,"Live: Without adjusting your welder's mask at any point, draw your own face on the front of your welder's mask. Your face should be the same size of your face and either very angry or very happy.",Jo Brand,3
Series 9,Episode 9: Don't like them go bang. (30 October 2019),1,Prize: Most desirable smooth thing.,Jo Brand,4
Series 9,Episode 9: Don't like them go bang. (30 October 2019),2,Give Alex a five-word instruction in the most spy-like way. You must not be seen or heard communicating with Alex in any way.,Jo Brand,4
Series 9,Episode 9: Don't like them go bang. (30 October 2019),3,"Inflate, tie and pop as many balloons as possible in ten minutes. Once you pop your first balloon, you may not inflate any more balloons. If any balloons are still inflated after ten minutes, you are disqualified. Also, you may not look at a clock or any sort of timing device at any point.",Jo Brand,DQ
Series 9,Episode 9: Don't like them go bang. (30 October 2019),4,"Make either a knee and an elbow, a knee and a knee or an elbow or an elbow look like a famous couple. You must only use your knees and elbows.",Jo Brand,1
Series 9,Episode 9: Don't like them go bang. (30 October 2019),5,"Team Live: Standing in a queue, draw the most accurate pictures. Alex will show the person at the back of the queue a picture. The person at the back of the queue must draw this picture on the back of the person in front of them. The person at the front of the queue must draw the picture they think has been drawn on the back of their pad. No-one may communicate with anyone else.",Jo Brand,5
Series 9,Episode 10: Think about the spirit. (6 November 2019),1,Prize: Best thing that is very long and thin.,Jo Brand,4
Series 9,Episode 10: Think about the spirit. (6 November 2019),2,Do the most preposterous thing with this chickpea.,Jo Brand,1
Series 9,Episode 10: Think about the spirit. (6 November 2019),3,Team: Make the best cup of tea in this tea cup. You must use all the equipment on the table. You must not use anything from the kitchen. You must wear the washing-up gloves throughout the task.,Jo Brand,5
Series 9,Episode 10: Think about the spirit. (6 November 2019),4,"Complete the seven tasks. When you touch a task in any way, you must complete it before looking inside another task.",Jo Brand,DQ
Series 9,Episode 10: Think about the spirit. (6 November 2019),5,"Live: Pull the short breadstick. Taking it in turns, you must pull a breadstick out of the apron of the person next to you. Before each pull, the breadstick's bearer must point to one of the breadsticks, wink, and say ""This is the short breadstick"". If you pull the short breadstick, the breadstick bearer is disqualified.",Jo Brand,0
Series 9,Episode 10: Think about the spirit. (6 November 2019),T,Make a pop-up toy pause for the longest before popping up. You may use on spread to make your toy pause longer.,Jo Brand,–
Series 9,Episode 1: Join our cult. (4 September 2019),1,Prize: Most stressful thing.,Katy Wix,5
Series 9,Episode 1: Join our cult. (4 September 2019),2,Hide three aubergines in this room.,Katy Wix,3[1]
Series 9,Episode 1: Join our cult. (4 September 2019),3,Arrange the lollies in rainbow order on the board in front of you. You may only take off your goggles if you find the dodo. You may only accuse one thing of being a dodo.,Katy Wix,1
Series 9,Episode 1: Join our cult. (4 September 2019),4,Make the most dramatic entrance.,Katy Wix,3
Series 9,Episode 1: Join our cult. (4 September 2019),Bonus: Best snake.,0,Katy Wix,1
Series 9,Episode 2: Butter in the microwave. (11 September 2019),1,Prize: Best bag.,Katy Wix,4
Series 9,Episode 2: Butter in the microwave. (11 September 2019),2,Correctly identify which bin Alex is in. You must adhere to the commandments behind the curtain. You may only have one guess. No bins are to be opened at any point during the task unless authorised.,Katy Wix,0
Series 9,Episode 2: Butter in the microwave. (11 September 2019),3,"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",Katy Wix,5
Series 9,Episode 2: Butter in the microwave. (11 September 2019),4,"Team: Complete this adventure (by saying the word demeaning). Unless otherwise stated, you must stick together and only open one task when you've completed the previous one.",Katy Wix,5
Series 9,Episode 2: Butter in the microwave. (11 September 2019),5,Live: Make a lovely little ball arrangement.,Katy Wix,4
Series 9,Episode 2: Butter in the microwave. (11 September 2019),"Live: Flatten all of the yellow balls, throw all the red balls into the bucket, and turn all the blue balls into one big blue ball.",,Katy Wix,
Series 9,Episode 3: Five miles per day. (18 September 2019),1,Prize: Weirdest wooden thing.,Katy Wix,4
Series 9,Episode 3: Five miles per day. (18 September 2019),2,Go to the caravan. You must enter the caravan within 2 minutes of Alex entering the caravan.,Katy Wix,5
Series 9,Episode 3: Five miles per day. (18 September 2019),List all the things that were hanging from the wooden board in the lab. Also say the colour of the wooden board in the lab. Also say what Alex said to you in the lab.,,Katy Wix,
Series 9,Episode 3: Five miles per day. (18 September 2019),3,Build the most robust statue of the most delicate thing using the materials provided and place it on the red cross. Your delicate thing must be recognisable on the red cross an hour after you finish and should leave you feeling enormously proud of your creation.,Katy Wix,5
Series 9,Episode 3: Five miles per day. (18 September 2019),Score a goal with this football.,1,Katy Wix,5
Series 9,Episode 3: Five miles per day. (18 September 2019),4,Break something into the most pieces and completely fix it.,Katy Wix,3
Series 9,Episode 3: Five miles per day. (18 September 2019),5,"Live: Wearing your blindfold correctly at all times, fill a pint glass with water. If you make a big mess, you are disqualified.",Katy Wix,4
Series 9,Episode 4: Quisps. (25 September 2019),1,Prize: Best thing to celebrate with on a stage.,Katy Wix,2
Series 9,Episode 4: Quisps. (25 September 2019),2,Make the most striking water feature.,Katy Wix,1
Series 9,Episode 4: Quisps. (25 September 2019),3,Team: Bring a classic board game to life.,Katy Wix,3
Series 9,Episode 4: Quisps. (25 September 2019),4,Say a letter of the alphabet.,Katy Wix,0
Series 9,Episode 4: Quisps. (25 September 2019),Extra: You must now pick a letter of the alphabet and say that letter out loud.,–,Katy Wix,–
Series 9,Episode 4: Quisps. (25 September 2019),Put the most things beginning with the letter you just said on this tray. The tray may not leave Alex and Alex may not leave the lab.,1,Katy Wix,5
Series 9,Episode 4: Quisps. (25 September 2019),5,"Live: Throw your things far but not too far. Taking it in turns, you must select a thing and throw it beyond the line but not off the runway. If your thing does not end up in the safe zone, you are disqualified. If all the objects end up in the safe zone, the person who has thrown their thing the shortest distance is disqualified. You may not manipulate your things in any way before throwing them.",Katy Wix,1
Series 9,Episode 5: Another spoon. (2 October 2019),1,Prize: Best defunct thing.,Katy Wix,4
Series 9,Episode 5: Another spoon. (2 October 2019),2,Lasso Alex. You must stand behind this line at all times.,Katy Wix,3
Series 9,Episode 5: Another spoon. (2 October 2019),3,"Make the most accurate and inventive egg timer. After which, Alex will boil an egg for as long as your egg timer lasts. The Taskmaster likes his eggs runny, but not too runny. You may not use any pre-existing timing devices.",Katy Wix,3
Series 9,Episode 5: Another spoon. (2 October 2019),Bonus: Recreate the person's 'big tongue' party trick.,0,Katy Wix,0
Series 9,Episode 5: Another spoon. (2 October 2019),5,"Live: Looking at your mirrors and facing forward at all times, build the highest tower of bricks on the table behind you.
You must stay on your spot and use your litter pickers at all times.",Katy Wix,2[2]
Series 9,Episode 6: Bready bready bready. (9 October 2019),1,"Prize: The thing that, if you found it in a field, you'd be most pleased about.",Katy Wix,1
Series 9,Episode 6: Bready bready bready. (9 October 2019),2,Make a part of your body look abnormally long.,Katy Wix,3
Series 9,Episode 6: Bready bready bready. (9 October 2019),Bonus: Fewest breadsticks used.,0,Katy Wix,0
Series 9,Episode 6: Bready bready bready. (9 October 2019),4,Serenade yourself.,Katy Wix,3
Series 9,Episode 6: Bready bready bready. (9 October 2019),5,Live: Slide a drink to the Taskmaster. The worst slider each round must leave the bar.,Katy Wix,5[3]
Series 9,Episode 7: A cuddle. (16 October 2019),1,Prize: Best thing they've taken from someone else's house.,Katy Wix,4
Series 9,Episode 7: A cuddle. (16 October 2019),2,"Get an entire egg into one of those metal things. The highest single score wins. If you get an entire egg into one of these metal things without the egg breaking, the score is doubled. You may not move the chair or the metal things and you must release your egg while on the chair.",Katy Wix,5
Series 9,Episode 7: A cuddle. (16 October 2019),3,Forge the best Mount Rushmore.,Katy Wix,5
Series 9,Episode 7: A cuddle. (16 October 2019),4,Join your hands together so your palms are touching and each finger of one hand is touching the equivalent finger on the other hand. Your hands must stay in this position for the entirety of the task. Put the most gold rings on this drumstick.,Katy Wix,5
Series 9,Episode 7: A cuddle. (16 October 2019),5,Live: Read the Taskmaster's mind. The Taskmaster will choose a card. You must state if that card features a horse or a laminator. You will receive 1 point for every correct answer in a row.,Katy Wix,5
Series 9,Episode 8: Shaqinahat. (23 October 2019),1,Prize: Best thing from a shed.,Katy Wix,1
Series 9,Episode 8: Shaqinahat. (23 October 2019),2,Throw something into this pedal bin from the furthest distance. The pedal bin must be shut when you throw your thing.,Katy Wix,2[4]
Series 9,Episode 8: Shaqinahat. (23 October 2019),3,Write the best lyrics to the Taskmaster theme tune and perform them in the most memorable way.,Katy Wix,3
Series 9,Episode 8: Shaqinahat. (23 October 2019),4,Team: Supply the sound for this film. You will have one chance to perform all the sounds in time with the film.,Katy Wix,3
Series 9,Episode 8: Shaqinahat. (23 October 2019),5,"Live: Without adjusting your welder's mask at any point, draw your own face on the front of your welder's mask. Your face should be the same size of your face and either very angry or very happy.",Katy Wix,5
Series 9,Episode 9: Don't like them go bang. (30 October 2019),1,Prize: Most desirable smooth thing.,Katy Wix,4
Series 9,Episode 9: Don't like them go bang. (30 October 2019),2,Give Alex a five-word instruction in the most spy-like way. You must not be seen or heard communicating with Alex in any way.,Katy Wix,3
Series 9,Episode 9: Don't like them go bang. (30 October 2019),3,"Inflate, tie and pop as many balloons as possible in ten minutes. Once you pop your first balloon, you may not inflate any more balloons. If any balloons are still inflated after ten minutes, you are disqualified. Also, you may not look at a clock or any sort of timing device at any point.",Katy Wix,DQ
Series 9,Episode 9: Don't like them go bang. (30 October 2019),4,"Make either a knee and an elbow, a knee and a knee or an elbow or an elbow look like a famous couple. You must only use your knees and elbows.",Katy Wix,5
Series 9,Episode 9: Don't like them go bang. (30 October 2019),5,"Team Live: Standing in a queue, draw the most accurate pictures. Alex will show the person at the back of the queue a picture. The person at the back of the queue must draw this picture on the back of the person in front of them. The person at the front of the queue must draw the picture they think has been drawn on the back of their pad. No-one may communicate with anyone else.",Katy Wix,5
Series 9,Episode 10: Think about the spirit. (6 November 2019),1,Prize: Best thing that is very long and thin.,Katy Wix,5
Series 9,Episode 10: Think about the spirit. (6 November 2019),2,Do the most preposterous thing with this chickpea.,Katy Wix,3
Series 9,Episode 10: Think about the spirit. (6 November 2019),3,Team: Make the best cup of tea in this tea cup. You must use all the equipment on the table. You must not use anything from the kitchen. You must wear the washing-up gloves throughout the task.,Katy Wix,1
Series 9,Episode 10: Think about the spirit. (6 November 2019),4,"Complete the seven tasks. When you touch a task in any way, you must complete it before looking inside another task.",Katy Wix,DQ
Series 9,Episode 10: Think about the spirit. (6 November 2019),5,"Live: Pull the short breadstick. Taking it in turns, you must pull a breadstick out of the apron of the person next to you. Before each pull, the breadstick's bearer must point to one of the breadsticks, wink, and say ""This is the short breadstick"". If you pull the short breadstick, the breadstick bearer is disqualified.",Katy Wix,0
Series 9,Episode 10: Think about the spirit. (6 November 2019),T,Make a pop-up toy pause for the longest before popping up. You may use on spread to make your toy pause longer.,Katy Wix,–
Series 9,Episode 1: Join our cult. (4 September 2019),1,Prize: Most stressful thing.,Rose Matafeo,2
Series 9,Episode 1: Join our cult. (4 September 2019),2,Hide three aubergines in this room.,Rose Matafeo,4
Series 9,Episode 1: Join our cult. (4 September 2019),3,Arrange the lollies in rainbow order on the board in front of you. You may only take off your goggles if you find the dodo. You may only accuse one thing of being a dodo.,Rose Matafeo,5
Series 9,Episode 1: Join our cult. (4 September 2019),4,Make the most dramatic entrance.,Rose Matafeo,5
Series 9,Episode 1: Join our cult. (4 September 2019),Bonus: Best snake.,0,Rose Matafeo,
Series 9,Episode 2: Butter in the microwave. (11 September 2019),1,Prize: Best bag.,Rose Matafeo,5
Series 9,Episode 2: Butter in the microwave. (11 September 2019),2,Correctly identify which bin Alex is in. You must adhere to the commandments behind the curtain. You may only have one guess. No bins are to be opened at any point during the task unless authorised.,Rose Matafeo,0
Series 9,Episode 2: Butter in the microwave. (11 September 2019),3,"Draw a portrait of the Taskmaster using 16 A1 pages. You may not remove the A1 pages from the flipchart during your drawing. After the task, the A1 pages will be laid out in the pattern shown on the front page. You may only draw on the flipchart paper.",Rose Matafeo,3
Series 9,Episode 2: Butter in the microwave. (11 September 2019),4,"Team: Complete this adventure (by saying the word demeaning). Unless otherwise stated, you must stick together and only open one task when you've completed the previous one.",Rose Matafeo,5
Series 9,Episode 2: Butter in the microwave. (11 September 2019),5,Live: Make a lovely little ball arrangement.,Rose Matafeo,2
Series 9,Episode 2: Butter in the microwave. (11 September 2019),"Live: Flatten all of the yellow balls, throw all the red balls into the bucket, and turn all the blue balls into one big blue ball.",,Rose Matafeo,
Series 9,Episode 3: Five miles per day. (18 September 2019),1,Prize: Weirdest wooden thing.,Rose Matafeo,2
Series 9,Episode 3: Five miles per day. (18 September 2019),2,Go to the caravan. You must enter the caravan within 2 minutes of Alex entering the caravan.,Rose Matafeo,2
Series 9,Episode 3: Five miles per day. (18 September 2019),List all the things that were hanging from the wooden board in the lab. Also say the colour of the wooden board in the lab. Also say what Alex said to you in the lab.,,Rose Matafeo,
Series 9,Episode 3: Five miles per day. (18 September 2019),3,Build the most robust statue of the most delicate thing using the materials provided and place it on the red cross. Your delicate thing must be recognisable on the red cross an hour after you finish and should leave you feeling enormously proud of your creation.,Rose Matafeo,4
Series 9,Episode 3: Five miles per day. (18 September 2019),Score a goal with this football.,1,Rose Matafeo,
Series 9,Episode 3: Five miles per day. (18 September 2019),4,Break something into the most pieces and completely fix it.,Rose Matafeo,4
Series 9,Episode 3: Five miles per day. (18 September 2019),5,"Live: Wearing your blindfold correctly at all times, fill a pint glass with water. If you make a big mess, you are disqualified.",Rose Matafeo,3
Series 9,Episode 4: Quisps. (25 September 2019),1,Prize: Best thing to celebrate with on a stage.,Rose Matafeo,2
Series 9,Episode 4: Quisps. (25 September 2019),2,Make the most striking water feature.,Rose Matafeo,3
Series 9,Episode 4: Quisps. (25 September 2019),3,Team: Bring a classic board game to life.,Rose Matafeo,3
Series 9,Episode 4: Quisps. (25 September 2019),4,Say a letter of the alphabet.,Rose Matafeo,0
Series 9,Episode 4: Quisps. (25 September 2019),Extra: You must now pick a letter of the alphabet and say that letter out loud.,–,Rose Matafeo,
Series 9,Episode 4: Quisps. (25 September 2019),Put the most things beginning with the letter you just said on this tray. The tray may not leave Alex and Alex may not leave the lab.,1,Rose Matafeo,
Series 9,Episode 4: Quisps. (25 September 2019),5,"Live: Throw your things far but not too far. Taking it in turns, you must select a thing and throw it beyond the line but not off the runway. If your thing does not end up in the safe zone, you are disqualified. If all the objects end up in the safe zone, the person who has thrown their thing the shortest distance is disqualified. You may not manipulate your things in any way before throwing them.",Rose Matafeo,5
Series 9,Episode 5: Another spoon. (2 October 2019),1,Prize: Best defunct thing.,Rose Matafeo,1
Series 9,Episode 5: Another spoon. (2 October 2019),2,Lasso Alex. You must stand behind this line at all times.,Rose Matafeo,4
Series 9,Episode 5: Another spoon. (2 October 2019),3,"Make the most accurate and inventive egg timer. After which, Alex will boil an egg for as long as your egg timer lasts. The Taskmaster likes his eggs runny, but not too runny. You may not use any pre-existing timing devices.",Rose Matafeo,4
Series 9,Episode 5: Another spoon. (2 October 2019),Bonus: Recreate the person's 'big tongue' party trick.,0,Rose Matafeo,
Series 9,Episode 5: Another spoon. (2 October 2019),5,"Live: Looking at your mirrors and facing forward at all times, build the highest tower of bricks on the table behind you.
You must stay on your spot and use your litter pickers at all times.",Rose Matafeo,5
Series 9,Episode 6: Bready bready bready. (9 October 2019),1,"Prize: The thing that, if you found it in a field, you'd be most pleased about.",Rose Matafeo,2
Series 9,Episode 6: Bready bready bready. (9 October 2019),2,Make a part of your body look abnormally long.,Rose Matafeo,4
Series 9,Episode 6: Bready bready bready. (9 October 2019),Bonus: Fewest breadsticks used.,0,Rose Matafeo,
Series 9,Episode 6: Bready bready bready. (9 October 2019),4,Serenade yourself.,Rose Matafeo,5
Series 9,Episode 6: Bready bready bready. (9 October 2019),5,Live: Slide a drink to the Taskmaster. The worst slider each round must leave the bar.,Rose Matafeo,3
Series 9,Episode 7: A cuddle. (16 October 2019),1,Prize: Best thing they've taken from someone else's house.,Rose Matafeo,2
Series 9,Episode 7: A cuddle. (16 October 2019),2,"Get an entire egg into one of those metal things. The highest single score wins. If you get an entire egg into one of these metal things without the egg breaking, the score is doubled. You may not move the chair or the metal things and you must release your egg while on the chair.",Rose Matafeo,1
Series 9,Episode 7: A cuddle. (16 October 2019),3,Forge the best Mount Rushmore.,Rose Matafeo,4
Series 9,Episode 7: A cuddle. (16 October 2019),4,Join your hands together so your palms are touching and each finger of one hand is touching the equivalent finger on the other hand. Your hands must stay in this position for the entirety of the task. Put the most gold rings on this drumstick.,Rose Matafeo,3
Series 9,Episode 7: A cuddle. (16 October 2019),5,Live: Read the Taskmaster's mind. The Taskmaster will choose a card. You must state if that card features a horse or a laminator. You will receive 1 point for every correct answer in a row.,Rose Matafeo,1
Series 9,Episode 8: Shaqinahat. (23 October 2019),1,Prize: Best thing from a shed.,Rose Matafeo,3
Series 9,Episode 8: Shaqinahat. (23 October 2019),2,Throw something into this pedal bin from the furthest distance. The pedal bin must be shut when you throw your thing.,Rose Matafeo,3[4]
Series 9,Episode 8: Shaqinahat. (23 October 2019),3,Write the best lyrics to the Taskmaster theme tune and perform them in the most memorable way.,Rose Matafeo,5
Series 9,Episode 8: Shaqinahat. (23 October 2019),4,Team: Supply the sound for this film. You will have one chance to perform all the sounds in time with the film.,Rose Matafeo,3
Series 9,Episode 8: Shaqinahat. (23 October 2019),5,"Live: Without adjusting your welder's mask at any point, draw your own face on the front of your welder's mask. Your face should be the same size of your face and either very angry or very happy.",Rose Matafeo,4
Series 9,Episode 9: Don't like them go bang. (30 October 2019),1,Prize: Most desirable smooth thing.,Rose Matafeo,4
Series 9,Episode 9: Don't like them go bang. (30 October 2019),2,Give Alex a five-word instruction in the most spy-like way. You must not be seen or heard communicating with Alex in any way.,Rose Matafeo,2
Series 9,Episode 9: Don't like them go bang. (30 October 2019),3,"Inflate, tie and pop as many balloons as possible in ten minutes. Once you pop your first balloon, you may not inflate any more balloons. If any balloons are still inflated after ten minutes, you are disqualified. Also, you may not look at a clock or any sort of timing device at any point.",Rose Matafeo,4
Series 9,Episode 9: Don't like them go bang. (30 October 2019),4,"Make either a knee and an elbow, a knee and a knee or an elbow or an elbow look like a famous couple. You must only use your knees and elbows.",Rose Matafeo,2
Series 9,Episode 9: Don't like them go bang. (30 October 2019),5,"Team Live: Standing in a queue, draw the most accurate pictures. Alex will show the person at the back of the queue a picture. The person at the back of the queue must draw this picture on the back of the person in front of them. The person at the front of the queue must draw the picture they think has been drawn on the back of their pad. No-one may communicate with anyone else.",Rose Matafeo,5
Series 9,Episode 10: Think about the spirit. (6 November 2019),1,Prize: Best thing that is very long and thin.,Rose Matafeo,1
Series 9,Episode 10: Think about the spirit. (6 November 2019),2,Do the most preposterous thing with this chickpea.,Rose Matafeo,5
Series 9,Episode 10: Think about the spirit. (6 November 2019),3,Team: Make the best cup of tea in this tea cup. You must use all the equipment on the table. You must not use anything from the kitchen. You must wear the washing-up gloves throughout the task.,Rose Matafeo,1
Series 9,Episode 10: Think about the spirit. (6 November 2019),4,"Complete the seven tasks. When you touch a task in any way, you must complete it before looking inside another task.",Rose Matafeo,DQ
Series 9,Episode 10: Think about the spirit. (6 November 2019),5,"Live: Pull the short breadstick. Taking it in turns, you must pull a breadstick out of the apron of the person next to you. Before each pull, the breadstick's bearer must point to one of the breadsticks, wink, and say ""This is the short breadstick"". If you pull the short breadstick, the breadstick bearer is disqualified.",Rose Matafeo,5
Series 9,Episode 10: Think about the spirit. (6 November 2019),T,Make a pop-up toy pause for the longest before popping up. You may use on spread to make your toy pause longer.,Rose Matafeo,✘
Series 10,Episode 1: God's haemorrhoid. (15 October 2020),1,Prize: Nicest thing to put in your mouth.,Daisy May Cooper,5
Series 10,Episode 1: God's haemorrhoid. (15 October 2020),2,Knock the coconut off its perch.,Daisy May Cooper,DQ
Series 10,Episode 1: God's haemorrhoid. (15 October 2020),"Put all these drinks on the table in the caravan without spilling a drop. Also, you must be clutching this teddy at all times. Also, you must not walk on the grass while holding drinks.",,Daisy May Cooper,
Series 10,Episode 1: God's haemorrhoid. (15 October 2020),3,Make the largest object properly vanish. You may not use any editing trickery.,Daisy May Cooper,1
Series 10,Episode 1: God's haemorrhoid. (15 October 2020),4,"Land the most egg in the frying pan. You may not throw any egg, you must stay on this balcony and you may only use the contents of one of these boxes.",Daisy May Cooper,1
Series 10,Episode 1: God's haemorrhoid. (15 October 2020),5,"Live: Get the most balls in your bucket. At the end of the task, all the balls in your bucket must be the same colour as each other. You will lose 5 points for every different coloured ball in your bucket. You may only touch your litter pickers and you must stay on your spot at all times.",Daisy May Cooper,4
Series 10,Episode 2: A documentary about a despot. (22 October 2020),1,Prize: Best thing with loads of holes in it.,Daisy May Cooper,2
Series 10,Episode 2: A documentary about a despot. (22 October 2020),2,Team: Find the treasure. Do not break the box.,Daisy May Cooper,4
Series 10,Episode 2: A documentary about a despot. (22 October 2020),Special: Make one different noise for ten seconds every minute for 20 minutes. Each noise must be slightly louder than the last and you must make no other noise during the 20 minutes. You must stay on this chair throughout the 20 minutes.,–,Daisy May Cooper,4
Series 10,Episode 2: A documentary about a despot. (22 October 2020),3,"Make the best portrait of the Taskmaster and his favourite toy using only balloons, pegs, and your own clothes. Your portrait must fill this frame.",Daisy May Cooper,1
Series 10,Episode 2: A documentary about a despot. (22 October 2020),4,Get all the exercise balls in the hoops. You may not move the hoops or get out of the boat.,Daisy May Cooper,5
Series 10,Episode 2: A documentary about a despot. (22 October 2020),5,Live: Guess the things that are making the noise.,Daisy May Cooper,6
Series 10,Episode 2: A documentary about a despot. (22 October 2020),T,"Select a wind-up toy dinosaur and release it from the starter mark. If it falls off the table, you are disqualified.",Daisy May Cooper,–
Series 10,Episode 3: Point of swivel. (29 October 2020),1,Prize: Best thing that probably has a spring in its mechanism.,Daisy May Cooper,1
Series 10,Episode 3: Point of swivel. (29 October 2020),2,Make the best upside down film.,Daisy May Cooper,2
Series 10,Episode 3: Point of swivel. (29 October 2020),3,"Put all the spaghetti into the grapefruit. The grapefruit may not leave this room. For the last eight minutes, you must stand with both feet on the spot on the floor.",Daisy May Cooper,5
Series 10,Episode 3: Point of swivel. (29 October 2020),4,"Catapult this shoe into the bath using a home-made catapult contraption. Only your feet may operate your catapult contraption. You may not move the bath or this red green, and you must build your catapult contraption on this red green.",Daisy May Cooper,5
Series 10,Episode 3: Point of swivel. (29 October 2020),5,Team Live: Draw a picture of the object on your card. You may not speak or communicate with with your team mates in any way. You must stay on your spots and not move the canvas or turntable.,Daisy May Cooper,6
Series 10,Episode 4: Toshwash. (5 November 2020),1,Prize: Cheekiest food.,Daisy May Cooper,2
Series 10,Episode 4: Toshwash. (5 November 2020),2,Make this phone ring.,Daisy May Cooper,4
Series 10,Episode 4: Toshwash. (5 November 2020),3,Team: Secretly puts something that looks amazing in your bag.,Daisy May Cooper,5
Series 10,Episode 4: Toshwash. (5 November 2020),"Team: Persuade the security guard to look in your bag. You may describe what is in your bag, but you must not say what is in your bag.",,Daisy May Cooper,
Series 10,Episode 4: Toshwash. (5 November 2020),4,Drop this water balloon from the greatest height without it bursting. You may not damage the water balloon or remove any water from it.,Daisy May Cooper,5
Series 10,Episode 4: Toshwash. (5 November 2020),5,"Live: Roll an edible sphere across the finish line. The person whose edible sphere crosses the finish line first, each round, is eliminated. If your edible sphere stops moving before the finishing line, you are eliminated.",Daisy May Cooper,3
Series 10,Episode 5: I hate your trainers. (12 November 2020),1,Prize: Best pointy thing.,Daisy May Cooper,2
Series 10,Episode 5: I hate your trainers. (12 November 2020),2,Bag the heaviest thing from the furthest distance. Your attempt ends when you have bagged an item. Your score is the weight of the bagged object in grams multiplied by the distance from the bagging machine in centimetres.,Daisy May Cooper,2
Series 10,Episode 5: I hate your trainers. (12 November 2020),3,"Paint a picture of a howling wolf on this teapot. You may not touch the teapot or remove it from the turntable and you may not tamper with the turntable or its power. The turntable will keep speeding up until you have named 20 American states. If you do name 20 American states, the turntable will slow down.",Daisy May Cooper,5
Series 10,Episode 5: I hate your trainers. (12 November 2020),4,Do something out of character with this £20.,Daisy May Cooper,5
Series 10,Episode 5: I hate your trainers. (12 November 2020),5,Team: Eat the most watermelon. You must be wearing a boiler suit and goggles while you're eating the watermelon. You must not feed yourself.,Daisy May Cooper,5
Series 10,Episode 5: I hate your trainers. (12 November 2020),6,Live: Say the most different words without hesitating for more than two seconds. The person who says the fewest words each round is eliminated.,Daisy May Cooper,5
Series 10,Episode 6: Hippopotamus. (19 November 2020),1,Prize: Most narcissistic thing.,Daisy May Cooper,2
Series 10,Episode 6: Hippopotamus. (19 November 2020),2,"Silently, make the tastiest and prettiest cocktail with the coolest name. If you make any noise over 60 dB, you must pour anything you've prepared into the bucket, shout shout your given phrase at a volume of over 100 dB and start again.",Daisy May Cooper,2
Series 10,Episode 6: Hippopotamus. (19 November 2020),3,Draw the animal that is watching you. The animal is wearing a hat. You may not leave this room and you must look in the mirror at all times.,Daisy May Cooper,4
Series 10,Episode 6: Hippopotamus. (19 November 2020),4,Get the most water from butt A into butt B. You may not move a butt in the first five minutes.,Daisy May Cooper,4
Series 10,Episode 6: Hippopotamus. (19 November 2020),5,"Team Live: Draw the animal named on your card. Each artist may draw three straight lines in their turn. The artist's teammates may have one guess after these three lines. If the guess is incorrect, the other team's artist can draw their straight lines. You may not speak or communicate with your teammates in any way.",Daisy May Cooper,2
Series 10,Episode 7: Legit glass. (26 November 2020),1,Prize: Best thing that is bigger at the top than the bottom.,Daisy May Cooper,2
Series 10,Episode 7: Legit glass. (26 November 2020),2,"Get to that finish line clutching chicken number 2. Get chicken number 1 across the start line aboard radio-controlled [contestant's name]. You must sit on the office chair at all times. If anything touches the little robots, your attempt is over.",Daisy May Cooper,DQ
Series 10,Episode 7: Legit glass. (26 November 2020),3,Team: Tell your team mate what is in this safe. You may speak into this microphone and they will hear your message played backwards.,Daisy May Cooper,–
Series 10,Episode 7: Legit glass. (26 November 2020),Team: Decipher the message to work out what is in this safe.,0,Daisy May Cooper,3
Series 10,Episode 7: Legit glass. (26 November 2020),4,"Make the best marble run. After releasing your marble, you may not touch your marble, nor do anything to affect its movement.",Daisy May Cooper,4
Series 10,Episode 7: Legit glass. (26 November 2020),5,Live: Communicate to the Taskmaster the item on your card. You may only make noises. You may not use any actions or anything that sounds like a word.,Daisy May Cooper,5
Series 10,Episode 7: Legit glass. (26 November 2020),T,Work out how many sheets there are on a loo roll.,Daisy May Cooper,–
Series 10,Episode 8: Moments of silence. (3 December 2020),1,Prize: Best thing with wings.,Daisy May Cooper,2
Series 10,Episode 8: Moments of silence. (3 December 2020),2,Fill this cup so that it overfloweth. The cup must remain atop the cup pole at all times. Only liquids may touch the red green.,Daisy May Cooper,DQ
Series 10,Episode 8: Moments of silence. (3 December 2020),3,Learn your lines.,Daisy May Cooper,3
Series 10,Episode 8: Moments of silence. (3 December 2020),4,"Drink one full tablespoon of coconut water. If you use the same coconut water extraction method as another contestant, you will be disqualified.",Daisy May Cooper,DQ
Series 10,Episode 8: Moments of silence. (3 December 2020),5,Team Live: Stare at your opponent without blinking. You must both be pulling the face that the Taskmaster chooses.,Daisy May Cooper,2
Series 10,Episode 9: Air Horn Andy. (10 December 2020),1,Prize: Best bedding.,Daisy May Cooper,3
Series 10,Episode 9: Air Horn Andy. (10 December 2020),2,"Make the biggest beer mat house on this table. While making your biggest beer mat house, you must ring the doorbell after exactly one minute, then after 58 more seconds, then 56 seconds and so on until 0 seconds. If you make more than two mistakes with the doorbell timing, you will be disqualified.",Daisy May Cooper,4
